,endereco,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,rua,bairro,cidade,estado,preco p/ m²,endereco_geo,latitude,longitude,preco_bin,Regional,IDH-Educação,IDH-Longevidade,IDH-Renda,IDH
0,"Rua Consuelo Freire, 585 - Parque Iracema, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 58m²",58.0,2,2,2,510000.0,550.0,Rua Consuelo Freire,Parque Iracema,Fortaleza,CE,8793.103448275862,"Rua Consuelo Freire, Parque del Sol, Parque Iracema, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60824-000, Brasil",-3.8077139372574,-38.496653539033694,5001-10000,6,0.9817813765182186,0.3270181219110378,0.4010215508041715,0.5049535625829636
1,"Rua dos Amigos, 100 - Cambeba, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 74m²",74.0,3,2,2,475000.0,714.0,Rua dos Amigos,Cambeba,Fortaleza,CE,6418.918918918919,"Rua dos Amigos, Cambeba, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60822-168, Brasil",-3.804931243265551,-38.4811643905563,5001-10000,6,0.9686234817813766,0.3525535420098847,0.4060532878790979,0.5175921753264556
2,"Rua Doutor Pedro Sampaio - Passaré, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 67m²",67.0,3,2,1,170000.0,400.0,Rua Doutor Pedro Sampaio,Passaré,Fortaleza,CE,2537.313432835821,"Rua Pedro Sampaio, Passaré, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60861-500, Brasil",-3.809588077306911,-38.52489288190769,1500-3000,6,0.938259109311741,0.1087314662273476,0.1111660122387283,0.2246725529938817
3,"Rua Coronel Olegário Memória - Sapiranga, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 70m²",70.0,3,2,2,230000.0,680.0,Rua Coronel Olegário Memória,Sapiranga/Coité,Fortaleza,CE,3285.714285714286,"Rua Coronel Olegário Memória, Conjunto Alvorada, Sapiranga / Coité, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60833-344, Brasil",-3.790785246385777,-38.466471371447966,3001-5000,6,0.937246963562753,0.21499176276771,0.1913288054521692,0.3378200388826952
4,"Rua Bento Albuquerque, 1670 - Cocó, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 123m²",123.0,3,4,2,1350000.0,1.0,Rua Bento Albuquerque,Cocó,Fortaleza,CE,10975.60975609756,"Rua Bento Albuquerque, Cocó, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60192-250, Brasil",-3.746946887440581,-38.47330576545293,10001-15000,2,0.9979757085020242,0.4967051070840197,0.8935119536647478,0.7622655996830392
5,"Rua A, 30 - Messejana, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,2,250000.0,325.0,Rua A,Messejana,Fortaleza,CE,5681.818181818182,"30, Rua A, Messejana, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60840-375, Brasil",-3.8338242,-38.487554,5001-10000,6,0.9564777327935224,0.4629324546952224,0.1197676220437448,0.3757024033168344
6,"Avenida Dioguinho, 4740 - Praia do Futuro, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 78m²",78.0,2,2,2,279000.0,680.0,Avenida Dioguinho,Praia do Futuro II,Fortaleza,CE,3576.923076923077,"Avenida Dioguinho, Praia do Futuro II, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60182-508, Brasil",-3.7580335246886336,-38.44488085210679,3001-5000,2,0.8977732793522267,0.0749588138385502,0.0703390648161413,0.1679043664047164
7,"Rua Deputado João Pontes, 900 - Fátima, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 69m²",69.0,3,2,2,550000.0,645.0,Rua Deputado João Pontes,Fátima,Fortaleza,CE,7971.014492753623,"Rua Deputado João Pontes, Fátima, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60040-430, Brasil",-3.7457747644449295,-38.53118823287832,5001-10000,4,0.9979757085020242,0.757825370675453,0.4434887100216648,0.6947958671151624
8,"Rua Carolina Sucupira, 1180 - Aldeota, Fortaleza - CE","Apartamento com 3 Quartos à Venda, 130m²",130.0,3,3,2,740000.0,1060.0,Rua Carolina Sucupira,Aldeota,Fortaleza,CE,5692.307692307692,"Rua Carolina Sucupira, Aldeota, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60125-058, Brasil",-3.7412062,-38.4999503,5001-10000,2,0.9940283400809716,0.8410214168039539,0.7783901365088925,0.8665648093321585
9,"Rua C, 17 - Parque Dois Irmãos, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,65000.0,300.0,Rua C,Parque Dois Irmãos,Fortaleza,CE,1477.2727272727273,"Rua C, Parque Dois Irmăos, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60761-390, Brasil",-3.811027216538183,-38.550257448586045,0-1500,6,0.9504048582995952,0.1787479406919275,0.0931470723242766,0.2510573659791728
