,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
0,"Aldeota, Fortaleza",Rua Osvaldo Cruz,"Apartamento para comprar 
Aldeota, Fortaleza",311,4,6,5,R$ 6.800.000,Cond. R$ 3.500,Aldeota, Fortaleza
1,"Meireles, Fortaleza",Rua Canuto de Aguiar,"Apartamento para comprar 
Meireles, Fortaleza",166,3,5,3,R$ 2.151.838,0,Meireles, Fortaleza
2,"Guararapes, Fortaleza",Rua Professor Jacinto Botelho,"Casa para comprar 
Guararapes, Fortaleza",300,4,4,2,R$ 1.000.000,0,Guararapes, Fortaleza
3,"Maraponga, Fortaleza",Rua Carlos Juaçaba,"Casa para comprar 
Maraponga, Fortaleza",233,4,5,4,R$ 1.800.000,Cond. R$ 600 • IPTU R$ 1.900,Maraponga, Fortaleza
4,"José de Alencar, Fortaleza",Rua Manuel Teixeira,"Apartamento para comprar 
José de Alencar, Fortaleza",50,2,2,1,R$ 355.332,0,José de Alencar, Fortaleza
5,"Siqueira, Fortaleza",Avenida Maciel Bezerra,"Apartamento para comprar 
Siqueira, Fortaleza",45,2,1,1,R$ 201.500,Cond. R$ 300 • IPTU R$ 100,Siqueira, Fortaleza
6,"Lagoa Redonda, Fortaleza",Rua Luís André,"Casa para comprar 
Lagoa Redonda, Fortaleza",53,2,2,1,R$ 190.000,Cond. R$ 560,Lagoa Redonda, Fortaleza
7,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",50,2,1,1,R$ 155.000,0,Pedras, Fortaleza
8,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",58,2,2,1,R$ 158.000,0,Pedras, Fortaleza
9,"Messejana, Fortaleza",Rua Barão Aquiraz,"Apartamento para comprar 
Messejana, Fortaleza",58,3,2,1,R$ 342.400,Cond. R$ 280,Messejana, Fortaleza
10,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",55,2,1,1,R$ 160.000,0,Pedras, Fortaleza
11,"Lagoa Redonda, Fortaleza",Rua C,"Casa para comprar 
Lagoa Redonda, Fortaleza",89,2,2,2,R$ 250.000,IPTU R$ 265,Lagoa Redonda, Fortaleza
12,"Benfica, Fortaleza",Rua Júlio César,"Apartamento para comprar 
Benfica, Fortaleza",38,2,1,1,R$ 280.000,Cond. R$ 300 • IPTU R$ 100,Benfica, Fortaleza
13,"Mondubim, Fortaleza",Rua Ayrton Senna,"Apartamento para comprar 
Mondubim, Fortaleza",65,2,1,1,R$ 289.990,0,Mondubim, Fortaleza
14,"Itaperi, Fortaleza",Via Paisagística do Loteamento Itaperussú,"Apartamento para comprar 
Itaperi, Fortaleza",52,2,2,1,R$ 250.000,0,Itaperi, Fortaleza
15,"Jangurussu, Fortaleza",Rua São João do Jangurussu,"Casa para comprar 
Jangurussu, Fortaleza",104,3,1,1,R$ 106.074,0,Jangurussu, Fortaleza
16,"Messejana, Fortaleza",Rua Gerardo Magela Soares Frota,"Apartamento para comprar 
Messejana, Fortaleza",45,2,1,1,R$ 179.999,0,Messejana, Fortaleza
17,"Meireles, Fortaleza",Rua Joaquim Nabuco,"Apartamento para comprar 
Meireles, Fortaleza",112,3,3,1,R$ 290.000,Cond. R$ 800 • IPTU R$ 101,Meireles, Fortaleza
18,"Lagoa Redonda, Fortaleza",Rua Aurino Colares,"Casa de condomínio para comprar 
Lagoa Redonda, Fortaleza",86,3,2,4,R$ 375.000,Cond. R$ 600,Lagoa Redonda, Fortaleza
19,"São Bento, Fortaleza",Rua E,"Casa para comprar 
São Bento, Fortaleza",190,3,4,2,R$ 680.000,0,São Bento, Fortaleza
20,"Carlito Pamplona, Fortaleza",Avenida Francisco Sá,"Apartamento para comprar 
Carlito Pamplona, Fortaleza",60,2,1,1,R$ 307.000,Cond. R$ 200 • IPTU R$ 100,Carlito Pamplona, Fortaleza
21,"Pedras, Fortaleza",Avenida Dionísio Alencar,"Apartamento para comprar 
Pedras, Fortaleza",58,2,2,1,R$ 180.000,0,Pedras, Fortaleza
22,"José de Alencar, Fortaleza",Rua Doutor Jurandyr Nunes,"Casa de condomínio para comprar 
José de Alencar, Fortaleza",142,4,5,3,R$ 519.000,Cond. R$ 400,José de Alencar, Fortaleza
23,"Messejana, Fortaleza",,"Apartamento para comprar 
Messejana, Fortaleza",52,3,2,2,R$ 190.000,Cond. R$ 200 • IPTU R$ 501,Messejana, Fortaleza
24,"Jangurussu, Fortaleza",Rua Irmãos Fontenele,"Apartamento para comprar 
Jangurussu, Fortaleza",62,3,2,2,R$ 180.000,0,Jangurussu, Fortaleza
25,"Messejana, Fortaleza",Rua Barão Aquiraz,"Apartamento para comprar 
Messejana, Fortaleza",45,2,1,1,R$ 169.000,0,Messejana, Fortaleza
26,"Pedras, Fortaleza",Avenida Dionísio Alencar,"Apartamento para comprar 
Pedras, Fortaleza",54,2,1,1,R$ 167.000,0,Pedras, Fortaleza
27,"Paupina, Fortaleza",Rua Tropical,"Apartamento para comprar 
Paupina, Fortaleza",48,2,2,1,R$ 230.000,Cond. R$ 296,Paupina, Fortaleza
28,"Paupina, Fortaleza",Rua Murará,"Apartamento para comprar 
Paupina, Fortaleza",48,2,1,1,R$ 178.000,0,Paupina, Fortaleza
29,"Pedras, Fortaleza",Avenida Dionísio Alencar,"Casa para comprar 
Pedras, Fortaleza",100,2,2,2,R$ 210.000,0,Pedras, Fortaleza
30,"Paupina, Fortaleza",Rua A,"Apartamento para comprar 
Paupina, Fortaleza",45,2,1,1,R$ 75.000,Cond. R$ 250 • IPTU R$ 100,Paupina, Fortaleza
31,"José de Alencar, Fortaleza",Rua São João Del Rei,"Casa para comprar 
José de Alencar, Fortaleza",130,3,4,3,R$ 760.000,0,José de Alencar, Fortaleza
32,"Praia do Futuro II, Fortaleza",Avenida Dioguinho,"Apartamento para comprar 
Praia do Futuro II, Fortaleza",50,2,1,1,R$ 345.000,Cond. R$ 300 • IPTU R$ 100,Praia do Futuro II, Fortaleza
33,"Pedras, Fortaleza",Avenida Dionísio Alencar,"Apartamento para comprar 
Pedras, Fortaleza",55,2,2,1,R$ 189.000,0,Pedras, Fortaleza
34,"Meireles, Fortaleza",Avenida Rui Barbosa,"Apartamento para comprar 
Meireles, Fortaleza",40,1,1,1,R$ 439.900,Cond. R$ 350 • IPTU R$ 10,Meireles, Fortaleza
35,"Fátima, Fortaleza",Rua Doutor Ratisbona,"Apartamento para comprar 
Fátima, Fortaleza",204,4,5,4,R$ 2.100.000,Cond. R$ 2.083,Fátima, Fortaleza
36,"Parque Iracema, Fortaleza",Rua SDO,"Apartamento para comprar 
Parque Iracema, Fortaleza",113,3,4,2,R$ 680.000,Cond. R$ 1.064 • IPTU R$ 105,Parque Iracema, Fortaleza
37,"Jardim Cearense, Fortaleza",Rua Emílio Sá,"Apartamento para comprar 
Jardim Cearense, Fortaleza",63,3,3,2,R$ 260.000,Cond. R$ 550 • IPTU R$ 50,Jardim Cearense, Fortaleza
38,"Lagoa Redonda, Fortaleza",Rua Maria Pinheiro Campelo,"Casa para comprar 
Lagoa Redonda, Fortaleza",108,3,3,4,R$ 419.000,0,Lagoa Redonda, Fortaleza
39,"José de Alencar, Fortaleza",Rua Doutor Airton Bezerra,"Casa para comprar 
José de Alencar, Fortaleza",123,4,4,3,R$ 420.000,Cond. R$ 650,José de Alencar, Fortaleza
40,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Luiza Miranda Coelho,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",74,3,3,2,R$ 750.000,Cond. R$ 780,Engenheiro Luciano Cavalcante, Fortaleza
41,"Curió, Fortaleza",Rua Francisco Leandro,"Apartamento para comprar 
Curió, Fortaleza",55,2,1,2,R$ 160.000,Cond. R$ 579 • IPTU R$ 500,Curió, Fortaleza
42,"São Bento, Fortaleza",Rua 8,"Apartamento para comprar 
São Bento, Fortaleza",59,2,2,1,R$ 240.000,IPTU R$ 1.000,São Bento, Fortaleza
43,"Jardim das Oliveiras, Fortaleza",Rua Senador Carlos Jereissati,"Casa para comprar 
Jardim das Oliveiras, Fortaleza",144,4,4,2,R$ 655.000,0,Jardim das Oliveiras, Fortaleza
44,"Meireles, Fortaleza",Rua Silva Paulet,"Apartamento para comprar 
Meireles, Fortaleza",49,2,2,1,R$ 599.000,0,Meireles, Fortaleza
45,"Papicu, Fortaleza",,"Apartamento para comprar 
Papicu, Fortaleza",75,3,3,2,R$ 329.000,0,Papicu, Fortaleza
46,"Sapiranga, Fortaleza",Rua Firmo Ananias Cardoso,"Casa para comprar 
Sapiranga, Fortaleza",175,4,4,4,R$ 580.000,0,Sapiranga, Fortaleza
47,"Mondubim, Fortaleza",Rua Monte Líbano,"Apartamento para comprar 
Mondubim, Fortaleza",48,2,1,1,R$ 70.000,Cond. R$ 300,Mondubim, Fortaleza
48,"Maraponga, Fortaleza",Rua Sebastião de Abreu,"Apartamento para comprar 
Maraponga, Fortaleza",65,3,2,1,R$ 250.000,Cond. R$ 270,Maraponga, Fortaleza
49,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",55,2,2,1,R$ 155.000,0,Pedras, Fortaleza
50,"Mondubim, Fortaleza",Rua S,"Apartamento para comprar 
Mondubim, Fortaleza",149,3,4,4,R$ 499.900,0,Mondubim, Fortaleza
51,"Ancuri, Fortaleza",Rodovia Quarto Anel Viário,"Apartamento para comprar 
Ancuri, Fortaleza",60,2,2,1,R$ 161.000,0,Ancuri, Fortaleza
52,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Reverendo Bolivar Pinto Bandeira,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",146,3,3,3,R$ 1.570.000,Cond. R$ 1.174 • IPTU R$ 295,Engenheiro Luciano Cavalcante, Fortaleza
53,"Meireles, Fortaleza",Rua Deputado Moreira da Rocha,"Apartamento para comprar 
Meireles, Fortaleza",350,3,3,5,R$ 4.500.000,Cond. R$ 4.700 • IPTU R$ 1.619,Meireles, Fortaleza
54,"Edson Queiroz, Fortaleza",Rua Clóvis Beviláqua,"Casa para comprar 
Edson Queiroz, Fortaleza",162,4,4,3,R$ 715.000,0,Edson Queiroz, Fortaleza
55,"Parque Iracema, Fortaleza",Rua Leão Veloso,"Apartamento para comprar 
Parque Iracema, Fortaleza",99,3,3,2,R$ 860.000,Cond. R$ 900,Parque Iracema, Fortaleza
56,"Cambeba, Fortaleza",Rua Tomás Ildefonso,"Apartamento para comprar 
Cambeba, Fortaleza",74,3,3,2,R$ 488.000,Cond. R$ 630 • IPTU R$ 117,Cambeba, Fortaleza
57,"Cajazeiras, Fortaleza",Rua dos Solares,"Apartamento para comprar 
Cajazeiras, Fortaleza",44,2,1,1,R$ 37.000,Cond. R$ 200 • IPTU R$ 300,Cajazeiras, Fortaleza
58,"Centro, Fortaleza",Rua Gonçalves Ledo,"Apartamento para comprar 
Centro, Fortaleza",100,3,4,2,R$ 857.000,0,Centro, Fortaleza
59,"Mondubim, Fortaleza",Rua Benjamim Brasil,"Apartamento para comprar 
Mondubim, Fortaleza",60,3,1,1,R$ 260.000,Cond. R$ 360,Mondubim, Fortaleza
60,"Ancuri, Fortaleza",Rodovia Quarto Anel Viário,"Apartamento para comprar 
Ancuri, Fortaleza",55,2,1,1,R$ 160.000,0,Ancuri, Fortaleza
61,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Gontran Giffoni,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",104,3,4,2,R$ 800.000,0,Engenheiro Luciano Cavalcante, Fortaleza
62,"Parreão, Fortaleza",Rua Esperanto,"Apartamento para comprar 
Parreão, Fortaleza",60,2,2,1,R$ 280.000,Cond. R$ 1.060,Parreão, Fortaleza
63,"Sapiranga-Coité, Fortaleza",Rua José Vilar de Andrade,"Casa para comprar 
Sapiranga-Coité, Fortaleza",201,3,3,3,R$ 990.000,IPTU R$ 112,Sapiranga-Coité, Fortaleza
64,"Parque Manibura, Fortaleza",Rua Olga Cavalcante Lins,"Apartamento para comprar 
Parque Manibura, Fortaleza",55,2,2,2,R$ 550.000,Cond. R$ 535,Parque Manibura, Fortaleza
65,"Meireles, Fortaleza",Rua Barbosa de Freitas,"Apartamento para comprar 
Meireles, Fortaleza",107,3,3,2,R$ 820.000,Cond. R$ 1.150 • IPTU R$ 1.394,Meireles, Fortaleza
66,"Maraponga, Fortaleza",Rua Carlos Juaçaba,"Casa para comprar 
Maraponga, Fortaleza",233,4,5,3,R$ 1.900.000,Cond. R$ 550,Maraponga, Fortaleza
67,"Aldeota, Fortaleza",Rua Tibúrcio Cavalcanti,"Apartamento para comprar 
Aldeota, Fortaleza",120,3,3,2,R$ 750.000,Cond. R$ 900 • IPTU R$ 1,Aldeota, Fortaleza
68,"Cambeba, Fortaleza",Avenida Pedro Lazar,"Apartamento para comprar 
Cambeba, Fortaleza",63,3,2,1,R$ 470.000,Cond. R$ 396,Cambeba, Fortaleza
69,"Sapiranga-Coité, Fortaleza",Rua Rafael Tobias,"Apartamento para comprar 
Sapiranga-Coité, Fortaleza",170,3,3,2,R$ 450.000,0,Sapiranga-Coité, Fortaleza
70,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Caetano Ximenes Aragão,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",81,3,3,2,R$ 618.000,Cond. R$ 550,Engenheiro Luciano Cavalcante, Fortaleza
71,"Maraponga, Fortaleza",Rua Florêncio Coelho Holanda,"Apartamento para comprar 
Maraponga, Fortaleza",68,3,2,1,R$ 380.000,Cond. R$ 523 • IPTU R$ 955,Maraponga, Fortaleza
72,"Mondubim, Fortaleza",Rua Coronel Manuel Albano,"Apartamento para comprar 
Mondubim, Fortaleza",48,2,1,1,R$ 195.000,Cond. R$ 370,Mondubim, Fortaleza
73,"Parque Iracema, Fortaleza",Rua Alódia,"Apartamento para comprar 
Parque Iracema, Fortaleza",70,3,2,2,R$ 625.000,Cond. R$ 650,Parque Iracema, Fortaleza
74,"Mondubim, Fortaleza",Rua Monte Líbano,"Apartamento para comprar 
Mondubim, Fortaleza",44,2,1,1,R$ 180.000,Cond. R$ 420,Mondubim, Fortaleza
75,"Farias Brito, Fortaleza",Rua Marconi,"Casa para comprar 
Farias Brito, Fortaleza",120,2,2,2,R$ 345.000,0,Farias Brito, Fortaleza
76,"Meireles, Fortaleza",Rua Barbosa de Freitas,"Apartamento para comprar 
Meireles, Fortaleza",153,3,4,3,R$ 3.500.000,Cond. R$ 1.400 • IPTU R$ 6.800,Meireles, Fortaleza
77,"Varjota, Fortaleza",Travessa Delmiro Gouveia,"Apartamento para comprar 
Varjota, Fortaleza",152,4,5,3,R$ 1.850.000,Cond. R$ 1.200 • IPTU R$ 1,Varjota, Fortaleza
78,"São Gerardo, Fortaleza",Rua Aluísio Eleuterio,"Apartamento para comprar 
São Gerardo, Fortaleza",117,3,4,3,R$ 1.000.000,Cond. R$ 1.000,São Gerardo, Fortaleza
79,"Edson Queiroz, Fortaleza",Avenida Edilson Brasil Soares,"Casa para comprar 
Edson Queiroz, Fortaleza",135,4,4,3,R$ 639.900,IPTU R$ 100,Edson Queiroz, Fortaleza
80,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Caio Cid,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",102,3,4,1,R$ 1.043.537,Cond. R$ 2.500,Engenheiro Luciano Cavalcante, Fortaleza
81,"Guararapes, Fortaleza",Rua Gustavo Augusto Lima,"Apartamento para comprar 
Guararapes, Fortaleza",68,3,2,2,R$ 680.000,Cond. R$ 785 • IPTU R$ 1.519,Guararapes, Fortaleza
82,"Messejana, Fortaleza",Vila Irmã Amália,"Apartamento para comprar 
Messejana, Fortaleza",51,2,2,1,R$ 262.000,Cond. R$ 1 • IPTU R$ 1,Messejana, Fortaleza
83,"Passaré, Fortaleza",Rua Coronel Chico Alves,"Apartamento para comprar 
Passaré, Fortaleza",45,2,1,1,R$ 219.000,0,Passaré, Fortaleza
84,"Lagoa Redonda, Fortaleza",Rua Lourdes Vidal Alves,"Apartamento para comprar 
Lagoa Redonda, Fortaleza",53,2,2,1,R$ 270.000,Cond. R$ 390 • IPTU R$ 1,Lagoa Redonda, Fortaleza
85,"De Lourdes, Fortaleza",,"Apartamento para comprar 
De Lourdes, Fortaleza",62,2,2,2,R$ 550.000,Cond. R$ 550,De Lourdes, Fortaleza
86,"José de Alencar, Fortaleza",Avenida Presidente Artur Bernardes,"Apartamento para comprar 
José de Alencar, Fortaleza",74,3,2,1,R$ 339.998,0,José de Alencar, Fortaleza
