,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
0,"Aldeota, Fortaleza",Rua Osvaldo Cruz,"Apartamento para comprar 
Aldeota, Fortaleza",311.0,4,6,5,6800000.0,3500.0,Aldeota, Fortaleza
1,"Meireles, Fortaleza",Rua Canuto de Aguiar,"Apartamento para comprar 
Meireles, Fortaleza",166.0,3,5,3,2151838.0,0.0,Meireles, Fortaleza
2,"Guararapes, Fortaleza",Rua Professor Jacinto Botelho,"Casa para comprar 
Guararapes, Fortaleza",300.0,4,4,2,1000000.0,0.0,Guararapes, Fortaleza
3,"Maraponga, Fortaleza",Rua Carlos Juaçaba,"Casa para comprar 
Maraponga, Fortaleza",233.0,4,5,4,1800000.0,600.0,Maraponga, Fortaleza
4,"José de Alencar, Fortaleza",Rua Manuel Teixeira,"Apartamento para comprar 
José de Alencar, Fortaleza",50.0,2,2,1,355332.0,0.0,José de Alencar, Fortaleza
5,"Siqueira, Fortaleza",Avenida Maciel Bezerra,"Apartamento para comprar 
Siqueira, Fortaleza",45.0,2,1,1,201500.0,300.0,Siqueira, Fortaleza
6,"Lagoa Redonda, Fortaleza",Rua Luís André,"Casa para comprar 
Lagoa Redonda, Fortaleza",53.0,2,2,1,190000.0,560.0,Lagoa Redonda, Fortaleza
7,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",50.0,2,1,1,155000.0,0.0,Pedras, Fortaleza
8,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",58.0,2,2,1,158000.0,0.0,Pedras, Fortaleza
9,"Messejana, Fortaleza",Rua Barão Aquiraz,"Apartamento para comprar 
Messejana, Fortaleza",58.0,3,2,1,342400.0,280.0,Messejana, Fortaleza
10,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",55.0,2,1,1,160000.0,0.0,Pedras, Fortaleza
11,"Lagoa Redonda, Fortaleza",Rua C,"Casa para comprar 
Lagoa Redonda, Fortaleza",89.0,2,2,2,250000.0,0.0,Lagoa Redonda, Fortaleza
12,"Benfica, Fortaleza",Rua Júlio César,"Apartamento para comprar 
Benfica, Fortaleza",38.0,2,1,1,280000.0,300.0,Benfica, Fortaleza
13,"Mondubim, Fortaleza",Rua Ayrton Senna,"Apartamento para comprar 
Mondubim, Fortaleza",65.0,2,1,1,289990.0,0.0,Mondubim, Fortaleza
14,"Itaperi, Fortaleza",Via Paisagística do Loteamento Itaperussú,"Apartamento para comprar 
Itaperi, Fortaleza",52.0,2,2,1,250000.0,0.0,Itaperi, Fortaleza
15,"Jangurussu, Fortaleza",Rua São João do Jangurussu,"Casa para comprar 
Jangurussu, Fortaleza",104.0,3,1,1,106074.0,0.0,Jangurussu, Fortaleza
16,"Messejana, Fortaleza",Rua Gerardo Magela Soares Frota,"Apartamento para comprar 
Messejana, Fortaleza",45.0,2,1,1,179999.0,0.0,Messejana, Fortaleza
17,"Meireles, Fortaleza",Rua Joaquim Nabuco,"Apartamento para comprar 
Meireles, Fortaleza",112.0,3,3,1,290000.0,800.0,Meireles, Fortaleza
18,"Lagoa Redonda, Fortaleza",Rua Aurino Colares,"Casa de condomínio para comprar 
Lagoa Redonda, Fortaleza",86.0,3,2,4,375000.0,600.0,Lagoa Redonda, Fortaleza
19,"São Bento, Fortaleza",Rua E,"Casa para comprar 
São Bento, Fortaleza",190.0,3,4,2,680000.0,0.0,São Bento, Fortaleza
20,"Carlito Pamplona, Fortaleza",Avenida Francisco Sá,"Apartamento para comprar 
Carlito Pamplona, Fortaleza",60.0,2,1,1,307000.0,200.0,Carlito Pamplona, Fortaleza
21,"Pedras, Fortaleza",Avenida Dionísio Alencar,"Apartamento para comprar 
Pedras, Fortaleza",58.0,2,2,1,180000.0,0.0,Pedras, Fortaleza
